id,name,given_name,family_name,identifiers,sources
praha:person:tomas-kastovsky,Tomáš Kaštovský,Tomáš,Kaštovský,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Kaštovský  Tomáš MUDr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""MUDr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Kaštovský  Tomáš MUDr.'""}]"
praha:person:antonin-klecanda,Antonín Klecanda,Antonín,Klecanda,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Klecanda  Antonín Mgr. et Mgr. MBA""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr. et Mgr. MBA""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Klecanda  Antonín Mgr. et Mgr. MBA'""}]"
praha:person:radmila-kleslova,Radmila Kleslová,Radmila,Kleslová,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Kleslová  Radmila JUDr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""JUDr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Kleslová  Radmila JUDr.'""}]"
praha:person:jiri-knitl,Jiří Knitl,Jiří,Knitl,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Knitl  Jiří Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Knitl  Jiří Mgr.'""}]"
praha:person:jan-kolar,Jan Kolář,Jan,Kolář,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Kolář  Jan Bc.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Bc.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Kolář  Jan Bc.'""}]"
praha:person:jana-komrskova,Jana Komrsková,Jana,Komrsková,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Komrsková  Jana Ing.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Komrsková  Jana Ing.'""}]"
praha:person:zdenek-kovarik,Zdeněk Kovářík,Zdeněk,Kovářík,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Kovářík  Zdeněk Ing.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Kovářík  Zdeněk Ing.'""}]"
praha:person:lucie-kubesa,Lucie Kubesa,Lucie,Kubesa,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Kubesa  Lucie""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Kubesa  Lucie'""}]"
praha:person:jakub-leps,Jakub Lepš,Jakub,Lepš,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Lepš  Jakub Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Lepš  Jakub Mgr.'""}]"
praha:person:gabriela-lnenickova,Gabriela Lněničková,Gabriela,Lněničková,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Lněničková  Gabriela Ing. MBA""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing. MBA""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Lněničková  Gabriela Ing. MBA'""}]"
